Date,Temp,Rain,NO3,PH
1/1/2001,30.5,8.4,0.1,7.0
1/2/2001,30.2,65.8,1.0,6.8
1/3/2001,31.5,12.003571428571426,0.2,6.9
1/4/2001,31.6,93.5,0.1,7.0
1/5/2001,31.9,0.5,0.3,7.0
1/6/2001,30.2,78.2,0.4,6.9
1/7/2001,28.2,23.5,1.0,6.8
1/8/2001,27.4,12.003571428571426,0.6,7.1
1/9/2001,29.8,12.003571428571426,0.7,6.9
1/10/2001,29.5,4.9,2.3,7.0
1/11/2001,28.5,12.7,2.0,7.0
1/12/2001,29.3,2.0,1.9,7.1
1/1/2002,28.5,19.5,1.8,6.9
1/2/2002,26.3,9.5,4.5,7.1
1/3/2002,30.4,6.5,3.0,7.0
1/4/2002,29.5,45.0,2.0,7.0
1/5/2002,31.9,12.003571428571426,5.1,7.1
1/6/2002,30.2,14.5,12.0,7.0
1/7/2002,28.2,12.003571428571426,7.5,6.8
1/8/2002,27.4,12.003571428571426,9.6,7.1
1/9/2002,29.8,12.003571428571426,6.4,6.9
1/10/2002,29.5,73.5,14.0,7.0
1/11/2002,28.5,59.2,1.04,7.0
1/12/2002,28.1,21.5,1.31,7.1
1/1/2003,27.3,17.0,1.2,7.0
1/2/2003,26.3,16.5,1.1,7.1
1/3/2003,30.4,1.6,1.2,6.9
1/4/2003,29.5,69.5,1.0,7.0
1/5/2003,31.9,6.5,1.1,7.1
1/6/2003,30.2,0.7,1.2,7.0
1/7/2003,28.2,13.0,1.3,6.9
1/8/2003,27.4,12.003571428571426,1.4,7.1
1/9/2003,29.8,1.2,1.2,7.0
1/10/2003,29.5,20.2,1.3,7.1
1/11/2003,28.5,32.3,1.5,7.0
1/12/2003,27.9,12.003571428571426,1.6,7.1
1/1/2004,27.3,23.9,0.6,7.0
1/2/2004,26.3,12.003571428571426,0.7,6.9
1/3/2004,30.4,12.003571428571426,2.3,6.8
1/4/2004,29.5,40.0,2.0,7.0
1/5/2004,31.9,9.7,3.0,7.1
1/6/2004,28.4,12.003571428571426,3.5,7.1
1/7/2004,26.9,12.003571428571426,4.5,6.8
1/8/2004,28.5,12.003571428571426,4.2,7.1
1/9/2004,29.8,26.5,4.5,7.0
1/10/2004,29.5,12.003571428571426,5.6,7.1
1/11/2004,28.5,12.003571428571426,12.0,7.0
1/12/2004,27.1,12.003571428571426,7.5,7.1
1/1/2005,28.2,8.6,9.6,6.8
1/2/2005,31.2,12.003571428571426,16.4,6.9
1/3/2005,30.4,12.003571428571426,12.0,6.9
1/4/2005,29.9,50.6,1.04,7.0
1/5/2005,29.8,13.7,1.31,7.2
1/6/2005,29.6,12.003571428571426,2.2,7.1
1/7/2005,28.2,23.5,2.3,6.9
1/8/2005,27.4,12.003571428571426,0.93,7.1
1/9/2005,29.8,12.003571428571426,0.7,7.0
1/10/2005,29.5,23.0,2.3,7.1
1/11/2005,28.5,12.003571428571426,2.0,7.0
1/12/2005,28.2,12.003571428571426,3.0,7.1
1/1/2006,27.3,14.2,3.2,6.9
1/2/2006,26.3,4.1,4.5,6.8
1/3/2006,30.4,25.1,12.0,6.9
1/4/2006,29.5,12.003571428571426,13.0,7.1
1/5/2006,31.9,12.003571428571426,6.1,7.2
1/6/2006,28.6,12.003571428571426,12.0,7.1
1/7/2006,26.8,12.003571428571426,7.5,7.0
1/8/2006,28.5,8.4,9.6,7.2
1/9/2006,29.8,5.0,6.4,7.1
1/10/2006,28.2,12.003571428571426,12.0,7.2
1/11/2006,31.7,28.0,1.04,7.2
1/12/2006,28.7,62.1,1.31,7.1
1/1/2007,27.3,12.003571428571426,1.0,7.0
1/2/2007,26.3,12.003571428571426,2.0,6.9
1/3/2007,30.4,12.003571428571426,1.0,7.1
1/4/2007,29.5,11.3,1.04,7.1
1/5/2007,31.9,12.003571428571426,1.31,7.0
1/6/2007,30.2,12.003571428571426,1.5,7.1
1/7/2007,28.2,12.003571428571426,1.1,7.0
1/8/2007,27.4,12.003571428571426,0.93,7.1
1/9/2007,29.8,12.003571428571426,0.8,7.2
