Date,Temp,Rain,NO3,PH
1/1/2001,30.50,8.40,0.10,7.00
1/2/2001,30.20,65.80,1.00,6.80
1/3/2001,31.50,0.00,0.20,6.90
1/4/2001,31.60,93.50,0.10,7.00
1/5/2001,31.90,0.50,0.30,7.00
1/6/2001,30.20,78.20,0.40,6.90
1/7/2001,28.20,23.50,1.00,6.80
1/8/2001,27.40,0.00,0.60,7.10
1/9/2001,29.80,0.00,0.70,6.90
1/10/2001,29.50,4.90,2.30,7.00
1/11/2001,28.50,12.70,2.00,7.00
1/12/2001,29.30,2.00,1.90,7.10
1/1/2002,28.50,19.50,1.80,6.90
1/2/2002,26.30,9.50,4.50,7.10
1/3/2002,30.40,6.50,3.00,7.00
1/4/2002,29.50,45.00,2.00,7.00
1/5/2002,31.90,0.00,5.10,7.10
1/6/2002,30.20,14.50,12.00,7.00
1/7/2002,28.20,0.00,7.50,6.80
1/8/2002,27.40,0.00,9.60,7.10
1/9/2002,29.80,0.00,6.40,6.90
1/10/2002,29.50,73.50,14.00,7.00
1/11/2002,28.50,59.20,1.04,7.00
1/12/2002,28.10,21.50,1.31,7.10
1/1/2003,27.30,17.00,1.20,7.00
1/2/2003,26.30,16.50,1.10,7.10
1/3/2003,30.40,1.60,1.20,6.90
1/4/2003,29.50,69.50,1.00,7.00
1/5/2003,31.90,6.50,1.10,7.10
1/6/2003,30.20,0.70,1.20,7.00
1/7/2003,28.20,13.00,1.30,6.90
1/8/2003,27.40,0.00,1.40,7.10
1/9/2003,29.80,1.20,1.20,7.00
1/10/2003,29.50,20.20,1.30,7.10
1/11/2003,28.50,32.30,1.50,7.00
1/12/2003,27.90,0.00,1.60,7.10
1/1/2004,27.30,23.90,0.60,7.00
1/2/2004,26.30,0.00,0.70,6.90
1/3/2004,30.40,0.00,2.30,6.80
1/4/2004,29.50,40.00,2.00,7.00
1/5/2004,31.90,9.70,3.00,7.10
1/6/2004,28.40,0.00,3.50,7.10
1/7/2004,26.90,0.00,4.50,6.80
1/8/2004,28.50,0.00,4.20,7.10
1/9/2004,29.80,26.50,4.50,7.00
1/10/2004,29.50,0.00,5.60,7.10
1/11/2004,28.50,0.00,12.00,7.00
1/12/2004,27.10,0.00,7.50,7.10
1/1/2005,28.20,8.60,9.60,6.80
1/2/2005,31.20,0.00,16.40,6.90
1/3/2005,30.40,0.00,12.00,6.90
1/4/2005,29.90,50.60,1.04,7.00
1/5/2005,29.80,13.70,1.31,7.20
1/6/2005,29.60,0.00,2.20,7.10
1/7/2005,28.20,23.50,2.30,6.90
1/8/2005,27.40,0.00,0.93,7.10
1/9/2005,29.80,0.00,0.70,7.00
1/10/2005,29.50,23.00,2.30,7.10
1/11/2005,28.50,0.00,2.00,7.00
1/12/2005,28.20,0.00,3.00,7.10
1/1/2006,27.30,14.20,3.20,6.90
1/2/2006,26.30,4.10,4.50,6.80
1/3/2006,30.40,25.10,12.00,6.90
1/4/2006,29.50,0.00,13.00,7.10
1/5/2006,31.90,0.00,6.10,7.20
1/6/2006,28.60,0.00,12.00,7.10
1/7/2006,26.80,0.00,7.50,7.00
1/8/2006,28.50,8.40,9.60,7.20
1/9/2006,29.80,5.00,6.40,7.10
1/10/2006,28.20,0.00,12.00,7.20
1/11/2006,31.70,28.00,1.04,7.20
1/12/2006,28.70,62.10,1.31,7.10
1/1/2007,27.30,0.00,1.00,7.00
1/2/2007,26.30,0.00,2.00,6.90
1/3/2007,30.40,0.00,1.00,7.10
1/4/2007,29.50,11.30,1.04,7.10
1/5/2007,31.90,0.00,1.31,7.00
1/6/2007,30.20,0.00,1.50,7.10
1/7/2007,28.20,0.00,1.10,7.00
1/8/2007,27.40,0.00,0.93,7.10
1/9/2007,29.80,0.00,0.80,7.20
1/10/2007,29.50,0.00,0.90,7.20
1/11/2007,28.50,60.10,0.70,7.30
1/12/2007,29.10,0.00,1.00,7.20
1/1/2008,27.40,22.60,1.00,6.90
1/2/2008,26.30,21.60,1.20,6.90
1/3/2008,30.40,0.00,1.10,7.20
1/4/2008,29.50,18.00,1.04,7.10
1/5/2008,31.90,0.00,1.31,7.10
1/6/2008,28.70,0.00,1.20,7.20
1/7/2008,26.80,0.00,1.10,7.00
1/8/2008,28.50,0.00,0.93,7.20
1/9/2008,29.80,2.20,0.10,7.10
1/10/2008,29.10,0.00,0.20,7.20
1/11/2008,31.70,45.50,1.00,7.20
1/12/2008,28.70,32.00,0.30,7.40
1/1/2009,27.40,4.40,0.70,7.00
1/2/2009,26.30,53.20,1.80,6.90
1/3/2009,30.40,52.20,1.60,7.30
